genome_id,size,assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,path,genome_file,superkingdom,phylum,class,order,family,genus,species
GCF_000007365.1_ASM736v1,181317,GCF_000007365.1,PRJNA224116,SAMN02604269,NA,na,198804,9,Buchnera aphidicola str. Sg (Schizaphis graminum),strain=Sg (ex Schizaphis graminum),NA,latest,Complete Genome,Major,Full,02-07-02,ASM736v1,Uppsala Univ.,GCA_000007365.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/365/GCF_000007365.1_ASM736v1,NA,assembly from type material,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_000007365.1_ASM736v1_genomic.fna.gz,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,Buchnera aphidicola
GCF_000165485.1_ASM16548v1,2941586,GCF_000165485.1,PRJNA224116,SAMN02603592,NA,na,378806,41,Stigmatella aurantiaca DW4/3-1,strain=DW4/3-1,NA,latest,Complete Genome,Major,Full,21-10-10,ASM16548v1,Max Planck Institute for Terrestrial Microbiology,GCA_000165485.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/485/GCF_000165485.1_ASM16548v1,NA,NA,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_000165485.1_ASM16548v1_genomic.fna.gz,Bacteria,Myxococcota,Myxococcia,Myxococcales,Archangiaceae,Stigmatella,Stigmatella aurantiaca
GCF_002305875.1_ASM230587v1,3508755,GCF_002305875.1,PRJNA224116,SAMN06167122,NA,na,43,43,Cystobacter fuscus,strain=DSM 52655,NA,latest,Complete Genome,Major,Full,15-09-17,ASM230587v1,Max-Planck Institute for terrestrial Microbiology,GCA_002305875.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/305/875/GCF_002305875.1_ASM230587v1,NA,NA,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_002305875.1_ASM230587v1_genomic.fna.gz,Bacteria,Myxococcota,Myxococcia,Myxococcales,Archangiaceae,Cystobacter,Cystobacter fuscus
GCF_001027285.1_ASM102728v1,3521702,GCF_001027285.1,PRJNA224116,SAMN03704078,NA,representative genome,48,48,Archangium gephyra,strain=DSM 2261,NA,latest,Complete Genome,Major,Full,03-06-15,ASM102728v1,"Dr. Srikrishna Subramanian, Protein Science and Engineering, Institute of Microbial Technology, Chandigarh, India",GCA_001027285.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/027/285/GCF_001027285.1_ASM102728v1,NA,assembly from type material,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_001027285.1_ASM102728v1_genomic.fna.gz,Bacteria,Myxococcota,Myxococcia,Myxococcales,Archangiaceae,Archangium,Archangium gephyra
GCF_001189295.1_ASM118929v1,3224513,GCF_001189295.1,PRJNA224116,SAMN03651481,NA,representative genome,52,52,Chondromyces crocatus,strain=Cm c5,NA,latest,Complete Genome,Major,Full,30-07-15,ASM118929v1,Helmholtz Centre for Infection Research,GCA_001189295.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/189/295/GCF_001189295.1_ASM118929v1,NA,assembly from type material,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_001189295.1_ASM118929v1_genomic.fna.gz,Bacteria,Myxococcota,NA,Polyangiales,Polyangiaceae,Chondromyces,Chondromyces crocatus
GCF_000067165.1_ASM6716v1,3636055,GCF_000067165.1,PRJNA224116,SAMEA3138271,NA,representative genome,448385,56,Sorangium cellulosum So ce56,strain=So ce 56,NA,latest,Complete Genome,Major,Full,27-11-07,ASM6716v1,Bielefeld Univ,GCA_000067165.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/067/165/GCF_000067165.1_ASM6716v1,NA,NA,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_000067165.1_ASM6716v1_genomic.fna.gz,Bacteria,Myxococcota,NA,Polyangiales,Polyangiaceae,Sorangium,Sorangium cellulosum
GCF_002024615.2_ASM202461v2,1769670,GCF_002024615.2,PRJNA224116,SAMN06212355,NA,na,69,69,Lysobacter enzymogenes,strain=B25,NA,latest,Complete Genome,Major,Full,28-11-22,ASM202461v2,Futureco Bioscience,GCA_002024615.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/024/615/GCF_002024615.2_ASM202461v2,NA,NA,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_002024615.2_ASM202461v2_genomic.fna.gz,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter enzymogenes
GCF_006738645.1_ASM673864v1,1634200,GCF_006738645.1,PRJNA224116,SAMD00165212,NA,na,94,94,Stella humosa,strain=ATCC 43930,NA,latest,Complete Genome,Major,Full,03-06-19,ASM673864v1,"Riken, BDR",GCA_006738645.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/738/645/GCF_006738645.1_ASM673864v1,NA,assembly from type material,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_006738645.1_ASM673864v1_genomic.fna.gz,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Stellaceae,Stella,Stella humosa
GCF_003149495.1_ASM314949v1,2577067,GCF_003149495.1,PRJNA224116,SAMN08361974,NA,na,114,114,Gemmata obscuriglobus,strain=DSM 5831,NA,latest,Complete Genome,Major,Full,23-05-18,ASM314949v1,Creighton University,GCA_003149495.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/149/495/GCF_003149495.1_ASM314949v1,NA,assembly from type material,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_003149495.1_ASM314949v1_genomic.fna.gz,Bacteria,Planctomycetota,Planctomycetia,Gemmatales,Gemmataceae,Gemmata,Gemmata obscuriglobus
GCF_000165715.2_ASM16571v3,1775978,GCF_000165715.2,PRJNA224116,SAMN00103628,NA,representative genome,756272,119,Rubinisphaera brasiliensis DSM 5305,strain=DSM 5305,NA,latest,Complete Genome,Major,Full,01-03-11,ASM16571v3,US DOE Joint Genome Institute (JGI-PGF),GCA_000165715.3,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/715/GCF_000165715.2_ASM16571v3,NA,assembly from type material,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_000165715.2_ASM16571v3_genomic.fna.gz,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Rubinisphaera,Rubinisphaera brasiliensis
GCF_007747015.1_ASM774701v1,2268327,GCF_007747015.1,PRJNA224116,SAMN10954008,NA,representative genome,122,122,Gimesia maris,strain=CA11,NA,latest,Complete Genome,Major,Full,31-07-19,ASM774701v1,Radboud Universiteit Nijmegen,GCA_007747015.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/747/015/GCF_007747015.1_ASM774701v1,NA,NA,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_007747015.1_ASM774701v1_genomic.fna.gz,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Gimesia,Gimesia maris
GCF_000025185.1_ASM2518v1,1831713,GCF_000025185.1,PRJNA224116,SAMN00120219,NA,representative genome,530564,125,Pirellula staleyi DSM 6068,strain=DSM 6068,NA,latest,Complete Genome,Major,Full,07-01-10,ASM2518v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000025185.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/185/GCF_000025185.1_ASM2518v1,NA,assembly from type material,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_000025185.1_ASM2518v1_genomic.fna.gz,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Pirellula,Pirellula staleyi
GCF_000008605.1_ASM860v1,340559,GCF_000008605.1,PRJNA224116,SAMN02604348,NA,na,243276,160,Treponema pallidum subsp. pallidum str. Nichols,strain=Nichols,NA,latest,Complete Genome,Major,Full,22-12-99,ASM860v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000008605.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/605/GCF_000008605.1_ASM860v1,NA,NA,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_000008605.1_ASM860v1_genomic.fna.gz,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema pallidum
GCF_001315015.1_ASM131501v1,1874296,GCF_001315015.1,PRJNA224116,SAMN04005082,NA,na,192,192,Azospirillum brasilense,strain=Sp 7,NA,latest,Complete Genome,Major,Full,15-10-15,ASM131501v1,Kyungpook National University,GCA_001315015.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/315/015/GCF_001315015.1_ASM131501v1,NA,assembly from type material,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_001315015.1_ASM131501v1_genomic.fna.gz,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,Azospirillum,Azospirillum brasilense
GCF_000017725.2_ASM1772v2,603646,GCF_000017725.2,PRJNA224116,SAMN02604054,NA,na,360104,199,Campylobacter concisus 13826,strain=13826,NA,latest,Complete Genome,Major,Full,09-09-16,ASM1772v2,TIGR,GCA_000017725.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/725/GCF_000017725.2_ASM1772v2,NA,NA,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_000017725.2_ASM1772v2_genomic.fna.gz,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter concisus
GCF_000284635.1_ASM28463v1,603315,GCF_000284635.1,PRJNA224116,SAMD00061064,NA,representative genome,1172562,213,Helicobacter cinaedi PAGU611,strain=PAGU611,NA,latest,Complete Genome,Major,Full,23-04-12,ASM28463v1,Kazusa DNA Research Institute,GCA_000284635.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/635/GCF_000284635.1_ASM28463v1,NA,NA,na,/mnt/project/UnveilMe/HumGut/genomes/refseq/bacteria,GCF_000284635.1_ASM28463v1_genomic.fna.gz,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter cinaedi
